Brand,Model,Mileage,State,Year
Tesla,Model 3,13797,CA ,2023
GMC,Yukon,4504,MA ,2023
FREIGHTLINER,Cascadia,,SC ,2023
BMW,745e xDrive,,MA ,2023
BMW,X5 M50i,,AZ ,2023
Subaru,Crosstrek,27000,IN ,2023
Hyundai,IONIQ 5,,NJ ,2023
Tesla,Model X,15430,NY ,2023
Tesla,Model Y,9370,FL ,2023
Tesla,Model Y,42872,CA ,2023
Tesla,Model X,14489,IL ,2023
Tesla,Model 3,8435,GA ,2023
Tesla,Model Y,6733,FL ,2023
Tesla,Model Y,528,CA ,2023
Subaru,Forester,51069,MO ,2023
Toyota,Camry,13811,PR ,2023
Tesla,Model 3,16776,WA ,2023
Tesla,Model Y,38986,UT ,2023
Tesla,Model Y,15303,FL ,2023
Tesla,Model 3,10285,SC ,2023
Tesla,Model 3,46078,PA ,2023
Tesla,Model Y,23208,CA ,2023
Tesla,Model 3,39848,CA ,2023
Tesla,Model Y,10017,IL ,2023
Tesla,Model Y,10416,MA ,2023
Tesla,Model Y,13741,MA ,2023
Tesla,Model 3,16776,WA ,2023
Subaru,Crosstrek,27000,IN ,2023
GMC,Yukon,4504,MA ,2023
Tesla,Model Y,15303,FL ,2023
Tesla,Model Y,38986,UT ,2023
Toyota,Corolla Hyrbid,162,VA ,2023
Subaru,Outback,35307,WV ,2023
Tesla,Model Y,590,CA ,2023
Tesla,Model X,69279,CA ,2023
Tesla,Model 3,45178,CA ,2023
Tesla,Model Y,23928,MD ,2023
Tesla,Model Y,1122,IL ,2023
Tesla,Model Y,23855,CA ,2023
Tesla,Model 3,10285,SC ,2023
Subaru,Forester,51069,MO ,2023
Toyota,Camry,13811,PR ,2023
Tesla,Model 3,46078,PA ,2023
Tesla,Model Y,23208,CA ,2023
Tesla,Model 3,39848,CA ,2023
Tesla,Model Y,10017,IL ,2023
Tesla,Model Y,590,CA ,2023
Tesla,Model X,69279,CA ,2023
Tesla,Model 3,45178,CA ,2023
Tesla,Model 3,3301,CA ,2023
Tesla,Model 3,25917,CA ,2023
Tesla,Model X,53319,CT ,2023
Tesla,Model Y,24026,CA ,2023
Tesla,Model 3,14081,CA ,2023
Tesla,Model 3,25806,TX ,2023
Tesla,Model Y,23928,MD ,2023
Tesla,Model Y,10416,MA ,2023
Tesla,Model Y,1122,IL ,2023
Tesla,Model Y,13741,MA ,2023
Tesla,Model Y,23855,CA ,2023
